年份,地区,国家,对外直接投资:截至累计
2016,非洲,摩洛哥,162.7
2016,非洲,莫桑比克,782.26
2016,非洲,纳米比亚,453.57
2016,非洲,南非,6500.84
2016,非洲,南苏丹,37.03
2016,非洲,尼日尔,525.3
2016,非洲,尼日利亚,2541.68
2016,非洲,塞拉利昂,188.82
2016,非洲,塞内加尔,149.59
2016,非洲,塞舌尔,246.65
2016,非洲,圣多美和普林西比,0.38
2016,非洲,苏丹,1104.34
2016,非洲,坦桑尼亚,1191.99
2016,非洲,突尼斯,16.3
2016,非洲,乌干达,1006.47
2016,非洲,赞比亚,2687.16
2016,非洲,乍得,396.64
2016,非洲,中非,35.61
2016,拉丁美洲,阿根廷,1943.66
2016,拉丁美洲,安提瓜和巴布达,6.7
2016,拉丁美洲,巴巴多斯,87.72
2016,拉丁美洲,巴哈马,160.6
2016,拉丁美洲,巴拉圭,47.91
2016,拉丁美洲,巴拿马,268.85
2016,拉丁美洲,巴西,2962.51
2016,拉丁美洲,玻利维亚,370.68
2016,拉丁美洲,伯利兹,0.7
2016,拉丁美洲,多米尼加共和国,1.01
2016,拉丁美洲,多米尼克,3.15
2016,拉丁美洲,厄瓜多尔,1180.12
2016,拉丁美洲,哥伦比亚,362.45
2016,拉丁美洲,哥斯达黎加,8.2
2016,拉丁美洲,格林纳达,23.77
2016,拉丁美洲,古巴,131.5
2016,拉丁美洲,圭亚那,256.68
2016,拉丁美洲,洪都拉斯,27.71
2016,拉丁美洲,开曼群岛,104208.93
2016,拉丁美洲,秘鲁,759.78
2016,拉丁美洲,墨西哥,578.6
2016,拉丁美洲,尼加拉瓜,4.67
2016,拉丁美洲,萨尔瓦多,0.01
2016,拉丁美洲,圣卢西亚,1.44
2016,拉丁美洲,圣文森特和格林纳丁斯,39.52
2016,拉丁美洲,苏里南,125.08
2016,拉丁美洲,特立尼达和多巴哥,606.66
2016,拉丁美洲,委内瑞拉,2741.71
2016,拉丁美洲,乌拉圭,225.59
2016,拉丁美洲,牙买加,839.19
2016,拉丁美洲,英属安圭拉,6.84
2016,拉丁美洲,英属维尔京群岛,88765.89
2016,拉丁美洲,智利,403.62
2016,欧洲,阿尔巴尼亚,7.27
2016,欧洲,阿塞拜疆,28.42
2016,欧洲,爱尔兰,573.77
2016,欧洲,爱沙尼亚,3.5
