单位,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对,对
湖南省,128944,13350,237787,32514,322762,50006,471359,73633,147552,18407,267882,40009,387987,63263,559204,87139,175263,22963,314539,47399,441468,71297,620792,96602,197786,24975,327493,51480,455394,77737,"618,896","105,175",196304,28546,323792,54530,471778,85990,644363,115925,201729,32101,347625,63203,479044,94481,642206,124942,232963,37225,358956,69881,479279,104431,616722,136425,217318,41999,350542,76339,477832,113174,620339,146054,190646,41275,305110,78543,414082,116101,541078,150633,169894,43959,282467,83021,385754,125261,499373,164084,154909,49067,255911,91869,352856,136696,457331,176421,145093,52314,238102,97078,332250,144282,421551,181539,129485,54376,214851,99033,303698,149856,380326,188516,87228,41130,188631,88420,271914,139101
广东省,181197,13864,339367,31633,489797,49775,702949,69199,201780,17451,346885,33931,521300,53664,719284,76527,206621,20165,353468,39221,538887,64664,779501,85835,207489,21574,354670,44806,558363,70895,"833,167","99,367",228395,24900,415234,53892,619336,83802,790159,105725,216824,27739,410465,60517,598304,92678,853459,124702,249562,34088,435526,72006,635075,111608,870924,149033,250145,35851,445136,73679,653897,113640,873900,149392,219263,36930,402150,80522,594610,122406,834157,166337,210582,43117,399323,89188,583022,140818,779701,185676,207203,46979,389889,95865,549422,146635,757645,193530,197972,47029,360098,100389,526130,154946,713856,203099,190171,52618,350835,109048,509185,169091,674522,222463,126308,36663,296939,93968,441986,157837
广西壮族自治区,144705,9296,267855,19613,363609,30521,476511,39620,167266,10392,263071,21321,360021,32200,492299,43850,174967,13373,269810,24457,375983,38443,514406,50863,169253,13319,267962,26953,389571,40335,"525,493","56,028",158383,14767,260243,29891,358318,44878,487898,59585,163843,17040,273228,33871,371090,50675,489390,66253,165955,18773,262476,37098,357393,56305,471643,73384,159617,20776,263055,41716,363487,62456,470874,80615,141628,22213,229784,42981,317568,64602,418077,82819,130069,24179,213928,46716,302997,71539,393907,92692,117746,26026,195131,50926,275452,76618,379404,99282,120803,28390,197516,55038,276457,83497,360152,107351,108164,32429,181684,62686,255535,95015,330559,121644,65941,21926,147407,52086,218081,85944
海南省,13366,1100,28080,2019,43205,3077,63243,5944,15110,953,40453,2389,61256,3561,101390,5212,21260,1315,46869,2907,71599,4075,104191,6131,23407,1505,54997,3397,85900,5090,"119,677","6,684",22631,1611,44692,2963,84251,5633,113742,7599,24027,1904,47571,4273,72360,6663,98858,8893,21786,2084,45510,4733,69194,7468,91214,9887,21318,2518,42672,5007,61005,7777,87976,10718,18363,2552,38314,5645,56350,8523,81422,11589,14986,2426,36865,6244,54451,9540,78255,13135,17871,3372,36512,7431,52810,11351,75841,15542,15988,3618,35211,7764,51074,11286,72063,16604,15937,4408,31925,8928,49443,14253,65586,18616,8999,2895,26766,7935,40538,13675
重庆市,67835,16079,120079,32480,174879,51568,237206,74798,77158,19647,131918,38865,178841,52164,262551,72159,87313,19723,156954,41694,223067,63504,300895,83148,96625,21997,155413,43330,225480,66679,"306,077","94,715",98656,27663,161846,53574,224749,79455,304799,105513,103647,27797,166911,54191,230415,82001,298498,107648,115136,31787,175770,58717,236466,88034,303084,115691,109113,32045,175670,59557,239861,89025,304493,115359,101842,32170,164118,60990,224534,91846,292570,120220,96366,33235,158149,61870,216587,93076,278527,122072,92808,36153,151671,69243,209463,104279,266004,133667,90960,37436,146757,71778,204968,107571,258782,136193,83812,38264,136386,71461,189346,107972,238335,138435,43884,22227,107606,57706,159679,95193
四川省,99372,22273,199924,47083,290824,75384,481860,112572,116008,25320,239187,51551,326517,78924,591460,126687,145152,31139,260393,59229,367476,87411,606584,129758,141815,29485,273530,64522,383129,102596,"680,260","169,294",175844,38228,309304,74088,443657,117538,741888,186474,221377,50164,375812,96539,519596,145011,736356,200301,275447,59801,421831,108550,560909,160755,773132,221275,267238,63726,416954,113755,564312,169456,751108,225598,248946,67375,396768,121895,536676,179015,737034,241964,240833,69506,384518,126231,518215,187249,713858,253317,228636,75508,368075,137031,492950,199780,688909,269150,228428,80053,363118,142076,488479,203846,651295,267365,209252,81761,340387,145095,460010,210899,614643,278691,126529,54659,277363,121336,397295,192881
贵州省,37972,4996,82223,11600,118063,17359,218870,27026,26790,4055,75228,10680,115242,18567,228003,30347,43007,5665,107457,15431,156887,22428,267244,34317,53135,6829,115666,16664,172243,25026,"322,023","40,143",52742,7197,119592,17983,193195,31443,346146,48221,84957,12105,169529,24590,237746,35783,400170,57505,126864,14737,213680,30043,292154,44322,408687,60210,121690,16823,203157,32757,283975,49596,416949,69466,116472,18472,201347,37494,320694,56916,468636,79223,129514,22409,218406,43122,301006,64124,432162,90574,120802,27529,201864,50721,290386,78041,390495,101110,117790,29278,196754,53950,271790,81509,401276,120679,111719,33438,187096,63825,272343,100000,358823,132973,85349,32504,166851,63857,236149,98520
云南省,45519,4950,91314,10935,136304,17240,268174,30352,53905,7744,91176,12050,136566,18123,273381,33650,67082,8182,128445,17429,170577,21957,341700,43971,72337,8335,140228,18961,224175,30781,"427,612","53,145",66642,7951,127895,18947,188271,28559,344660,50308,76896,10087,171566,25310,256349,40954,401757,59527,132311,15448,221671,32156,314167,50431,448711,70135,142031,18593,240746,38082,342003,58855,462640,78885,133717,20111,233799,41058,337451,63293,457407,85095,144035,23863,241074,47324,339308,72899,446076,95481,135877,27987,218645,51862,307130,78548,402757,101477,120584,28841,203100,54636,284260,82985,377567,107399,116370,33228,193814,61174,275051,91930,359187,117102,86120,28169,172963,56697,244092,87468
西藏自治区,886,115,2252,224,3919,614,6482,961,1403,161,2121,297,4307,323,6915,818,1633,172,3061,288,4723,503,9806,1077,1959,144,2658,291,4227,446,"4,406",459,2076,192,3151,281,5895,406,10921,1107,4102,162,7186,374,8878,445,9831,540,3512,258,7242,481,8415,601,13660,1247,3034,249,10030,936,13092,1213,17802,1477,6654,407,9619,638,12140,1041,14653,1476,8521,749,12949,1407,16626,1872,30055,2848,8482,731,13510,1422,21934,2351,34058,3297,10498,1126,18621,2073,26308,3349,33923,4144,9123,1225,13676,1954,21881,2842,30322,4341,5412,865,17854,2930,23893,3885
陕西省,70849,6207,124075,12697,178968,20844,272033,30497,62472,5232,136259,14391,193193,22652,302875,33678,80340,8180,133047,15340,198079,23360,321750,35771,100830,9488,160746,18482,221908,28371,"329,687","42,989",87637,10419,167939,22190,249579,34793,360939,48831,107607,13990,183856,26983,257925,40322,363571,53351,127955,16327,201866,30297,279576,46269,392487,62852,120919,18810,201301,34365,284947,52243,380684,68207,109848,19416,182386,37273,261787,56884,355983,74097,100098,20837,170986,38913,242119,58783,332406,78588,88889,22624,156447,42887,224764,65127,300594,85870,86627,26180,158661,52549,228224,76485,300405,100174,79810,28381,143276,54405,208690,82324,271861,107016,38722,14322,104195,39848,169264,66746
甘肃省,13352,1217,41066,4417,56527,6752,102287,10425,15489,1584,31945,3786,43486,5524,102368,10765,10905,1316,28932,3387,47801,5518,106996,10507,14300,1757,31882,3981,48831,5689,"120,240","11,083",18172,2321,29576,3753,47637,6231,110221,12486,21776,2621,58806,6437,82259,9475,147095,15067,54868,5791,82731,9404,117567,14118,172564,20291,59836,5876,93422,10408,119399,15248,180381,23041,60027,6905,99270,12600,142089,19438,206742,27832,58594,7933,102931,14691,138494,21956,207000,32175,63313,9430,101819,17231,134189,24832,193732,35830,56586,9650,113936,20539,155023,30416,210611,40866,64966,12112,105403,22359,149733,33657,198386,44423,42394,8436,89448,19496,128789,30411
青海省,1587,449,5748,1606,9314,2515,29198,4728,3809,1122,6159,1194,6456,1207,27938,4301,3419,896,6933,1647,13069,1908,23411,3359,2726,542,6209,1261,9269,1770,"32,550","4,599",2664,509,6545,1180,10804,1841,24367,3640,2803,624,7502,1146,15240,2839,41929,5730,6699,1138,13717,2600,19597,3691,34506,5550,7023,571,16088,2186,23712,3498,34965,5480,7308,1273,18874,2700,25165,3923,45783,7365,11253,1832,21594,3554,31902,5662,51561,8633,13319,2328,30016,5120,42076,7417,57284,10618,14144,2721,28487,5889,41510,8804,57332,12210,15958,3418,28545,6639,43581,10086,58380,13562,11878,2760,26469,6222,39080,9710
宁夏回族自治区,10137,1057,16499,2193,23653,3437,36376,4987,8984,1047,17484,2143,23312,3321,48167,8187,16725,1807,27265,3638,32154,4503,57269,7593,14979,1653,25845,3793,35991,5411,"57,368","8,207",17106,2248,33137,4602,43596,7031,61497,9523,20505,3119,34432,5227,43431,6902,60191,9769,21773,2555,32690,5160,44815,8589,63645,11443,17585,2965,29516,6160,38487,8848,55864,11470,16901,3238,32408,6758,42858,9656,59857,13474,21119,3776,33733,6954,44742,10807,64757,14918,17207,4327,27242,8063,38364,12275,60259,16938,21557,4519,33376,9066,44070,13184,59355,17264,17460,4830,30010,9343,42033,14222,61121,19067,13256,2984,25711,6820,37959,11574
新疆维吾尔自治区,54683,15249,93214,25179,147165,41561,203202,54412,59800,14177,101441,24176,145306,38997,228351,59715,63433,14740,63433,14740,134115,33702,220334,52931,49561,11001,104988,27723,153611,41230,"233,720","62,328",63871,15549,109399,28580,153551,41468,245743,65796,60462,15338,112638,29347,160624,45437,237102,66204,73211,19319,121373,34802,176126,54289,246861,75450,70763,19936,123338,37050,168673,50215,236663,66295,72399,18413,133262,33190,183982,47681,269131,67907,61824,17454,112543,33849,152851,47055,210570,62602,50968,14212,90627,27545,128212,38350,180515,50616,41791,10987,77686,22453,112238,32376,151654,43879,37989,11889,69359,23785,115292,38970,160128,54897,21881,9246,64393,25731,90282,34261
