年份,国家,min(ci.sc),max(ci.sc),median(ci.sc),min(ci.did),max(ci.did),median(ci.did)
2014,阿曼,-0.16000000000000014,0.1200000000000001,-0.020000000000000018,0.06000000000000005,0.2200000000000002,0.14000000000000012
2015,阿曼,-0.18000000000000016,0.26000000000000023,0.040000000000000036,0.08000000000000007,0.2400000000000002,0.16000000000000014
2016,阿曼,-0.19999999999999973,0.41999999999999993,0.1100000000000001,0.1200000000000001,0.28000000000000025,0.20000000000000018
2017,阿曼,-0.18000000000000016,0.56,0.19000000000000017,0.16000000000000014,0.3200000000000003,0.2400000000000002
2018,阿曼,-0.1200000000000001,0.7200000000000002,0.30000000000000027,0.18000000000000016,0.3599999999999999,0.27000000000000024
2019,阿曼,-0.14000000000000012,0.8000000000000003,0.33000000000000007,0.2200000000000002,0.3799999999999999,0.30000000000000027
2013,黎巴嫩,-0.08000000000000007,0.16000000000000014,0.040000000000000036,-0.23999999999999977,0.06000000000000005,-0.09000000000000008
2014,黎巴嫩,-0.1200000000000001,0.2200000000000002,0.050000000000000044,-0.23999999999999977,0.040000000000000036,-0.10000000000000009
2015,黎巴嫩,-0.14000000000000012,0.3799999999999999,0.1200000000000001,-0.2599999999999998,0.040000000000000036,-0.1100000000000001
2016,黎巴嫩,-0.18000000000000016,0.45999999999999996,0.14000000000000012,-0.2799999999999998,0.020000000000000018,-0.13000000000000012
2017,黎巴嫩,-0.18000000000000016,0.5800000000000001,0.20000000000000018,-0.2799999999999998,0.020000000000000018,-0.13000000000000012
2018,黎巴嫩,-0.14000000000000012,0.6800000000000002,0.27000000000000024,-0.2799999999999998,0.020000000000000018,-0.13000000000000012
2019,黎巴嫩,-0.18000000000000016,0.7600000000000002,0.29000000000000026,-0.2799999999999998,0,-0.14000000000000012
2013,沙特阿拉伯,-0.19999999999999973,0.08000000000000007,-0.06000000000000005,-0.33999999999999986,-0.040000000000000036,-0.18999999999999995
2014,沙特阿拉伯,-0.2799999999999998,0.1200000000000001,-0.08000000000000007,-0.3799999999999999,-0.08000000000000007,-0.22999999999999976
2015,沙特阿拉伯,-0.3599999999999999,0.16000000000000014,-0.10000000000000009,-0.41999999999999993,-0.14000000000000012,-0.2799999999999998
2016,沙特阿拉伯,-0.43999999999999995,0.16000000000000014,-0.14000000000000012,-0.45999999999999996,-0.18000000000000016,-0.31999999999999984
2017,沙特阿拉伯,-0.48,0.20000000000000018,-0.14000000000000012,-0.5,-0.19999999999999973,-0.34999999999999987
2018,沙特阿拉伯,-0.48,0.2400000000000002,-0.1200000000000001,-0.52,-0.23999999999999977,-0.3799999999999999
2019,沙特阿拉伯,-0.45999999999999996,0.26000000000000023,-0.10000000000000009,-0.54,-0.2599999999999998,-0.3999999999999999
2013,巴林,-0.10000000000000009,0.16000000000000014,0.030000000000000027,-0.040000000000000036,0,-0.020000000000000018
2014,巴林,-0.18000000000000016,0.2400000000000002,0.030000000000000027,-0.020000000000000018,0.020000000000000018,0
2015,巴林,-0.21999999999999975,0.33999999999999986,0.06000000000000005,0,0.040000000000000036,0.020000000000000018
2016,巴林,-0.23999999999999977,0.41999999999999993,0.09000000000000008,0,0.040000000000000036,0.020000000000000018
2017,巴林,-0.23999999999999977,0.54,0.15000000000000013,0.020000000000000018,0.06000000000000005,0.040000000000000036
2018,巴林,-0.18000000000000016,0.6000000000000001,0.2100000000000002,0.020000000000000018,0.06000000000000005,0.040000000000000036
2019,巴林,-0.19999999999999973,0.6200000000000001,0.2100000000000002,0.020000000000000018,0.06000000000000005,0.040000000000000036
2013,以色列,-0.1200000000000001,0.08000000000000007,-0.020000000000000018,-0.040000000000000036,0.020000000000000018,-0.010000000000000009
2014,以色列,-0.23999999999999977,0.1200000000000001,-0.06000000000000005,-0.040000000000000036,0.020000000000000018,-0.010000000000000009
2015,以色列,-0.2799999999999998,0.18000000000000016,-0.050000000000000044,-0.020000000000000018,0.020000000000000018,0
2016,以色列,-0.33999999999999986,0.2200000000000002,-0.06000000000000005,-0.020000000000000018,0.040000000000000036,0.010000000000000009
2017,以色列,-0.3799999999999999,0.28000000000000025,-0.050000000000000044,0,0.06000000000000005,0.030000000000000027
